location,size,total_sqft,bath,balcony,price,BHK,price_per_sqft
Electronic City Phase II,2 BHK,1056.0,2.0,1.0,39.07,2,36998.106060606064
Uttarahalli,3 BHK,1440.0,2.0,3.0,62.0,3,43055.55555555556
Lingadheeranahalli,3 BHK,1521.0,3.0,1.0,95.0,3,62458.90861275476
Kothanur,2 BHK,1200.0,2.0,1.0,51.0,2,42500.0
Whitefield,2 BHK,1170.0,2.0,1.0,38.0,2,32478.63247863248
Marathahalli,3 BHK,1310.0,3.0,1.0,63.25,3,48282.442748091606
Whitefield,3 BHK,1800.0,2.0,2.0,70.0,3,38888.88888888889
7th Phase JP Nagar,2 BHK,1000.0,2.0,1.0,38.0,2,38000.0
Gottigere,2 BHK,1100.0,2.0,2.0,40.0,2,36363.63636363636
Mysore Road,2 BHK,1175.0,2.0,2.0,73.5,2,62553.1914893617
Bisuvanahalli,3 BHK,1180.0,3.0,2.0,48.0,3,40677.96610169492
Raja Rajeshwari Nagar,3 BHK,1540.0,3.0,3.0,60.0,3,38961.03896103896
Manayata Tech Park,2 BHK,1100.0,2.0,2.0,48.0,2,43636.36363636364
Binny Pete,3 BHK,1755.0,3.0,1.0,122.0,3,69515.66951566952
Bellandur,3 BHK,1767.0,3.0,1.0,103.0,3,58290.88851160159
Mangammanapalya,3 BHK,1250.0,3.0,2.0,56.0,3,44800.0
Whitefield,3 BHK,1610.0,3.0,2.0,81.0,3,50310.55900621118
Ramagondanahalli,2 BHK,1151.0,2.0,2.0,48.77,2,42371.85056472632
Electronic City,3 BHK,1025.0,2.0,1.0,47.0,3,45853.65853658537
Bisuvanahalli,3 BHK,1075.0,2.0,1.0,35.0,3,32558.13953488372
Hebbal,3 BHK,1760.0,2.0,2.0,123.0,3,69886.36363636363
Raja Rajeshwari Nagar,3 BHK,1693.0,3.0,3.0,57.39,3,33898.405197873595
Electronics City Phase 1,2 BHK,1070.0,2.0,1.0,45.5,2,42523.36448598131
Kundalahalli,3 BHK,1724.0,3.0,2.0,125.0,3,72505.80046403712
Chikkalasandra,3 BHK,1290.0,2.0,2.0,56.12,3,43503.87596899224
Uttarahalli,2 BHK,1143.0,2.0,2.0,45.0,2,39370.07874015748
Sarjapur  Road,3 BHK,1254.0,3.0,2.0,38.0,3,30303.030303030304
Kanakpura Road,2 BHK,1330.74,2.0,2.0,91.79,2,68976.6596029277
Doddathoguru,2 BHK,970.0,2.0,0.0,33.0,2,34020.61855670103
Whitefield,2 BHK,1459.0,2.0,1.0,94.82,2,64989.71898560658
Himagiri Meadows,2 BHK,869.0,2.0,1.0,36.0,2,41426.92750287687
Adarsh Nagar,2 BHK,1270.0,2.0,1.0,50.0,2,39370.07874015748
Bhoganhalli,3 BHK,1670.0,3.0,1.0,99.0,3,59281.4371257485
Lakshminarayana Pura,2 BHK,1185.0,2.0,2.0,75.0,2,63291.13924050633
Yelahanka,3 BHK,1600.0,2.0,3.0,75.0,3,46875.0
Begur Road,2 BHK,1200.0,2.0,2.0,44.0,2,36666.66666666666
Govindaraja Nagar Ward,2 BHK,840.0,2.0,2.0,45.0,2,53571.42857142857
Ganga Nagar,2 BHK,845.0,2.0,1.0,55.0,2,65088.757396449706
Varthur,2 BHK,1160.0,2.0,2.0,44.0,2,37931.03448275862
Doddathoguru,2 BHK,1100.0,2.0,1.0,62.0,2,56363.63636363636
Gunjur,2 BHK,1140.0,2.0,3.0,43.0,2,37719.29824561404
Marathahalli,2 BHK,1220.0,2.0,1.0,57.0,2,46721.31147540984
Kanakpura Road,2 BHK,1005.0,2.0,1.0,36.68,2,36497.51243781095
Begur Road,2 BHK,1358.0,2.0,1.0,80.58,2,59337.26067746686
Hegde Nagar,3 BHK,1569.0,3.0,1.0,101.0,3,64372.21159974506
Haralur Road,2 BHK,1240.0,2.0,1.0,70.0,2,56451.6129032258
Kothannur,2 BHK,1206.0,2.0,1.0,48.23,2,39991.70812603649
Kalena Agrahara,2 BHK,1150.0,2.0,3.0,40.0,2,34782.608695652176
Kodanda Reddy Layout,3 BHK,1660.0,2.0,2.0,105.0,3,63253.01204819277
Yelahanka,2 BHK,1326.0,2.0,2.0,78.0,2,58823.52941176471
Garudachar Palya,3 BHK,1325.0,2.0,2.0,60.8,3,45886.79245283019
Kanakpura Road,3 BHK,1665.0,3.0,2.0,88.0,3,52852.852852852855
Kasavanhalli,2 BHK,1060.0,2.0,2.0,58.06,2,54773.58490566038
Sanjay nagar,2 BHK,1000.0,2.0,2.0,70.0,2,70000.0
Electronic City,2 BHK,1000.0,2.0,1.0,28.88,2,28880.0
Mysore Highway,3 BHK,1450.0,2.0,2.0,70.0,3,48275.86206896552
Thanisandra,2 BHK,1296.0,2.0,3.0,80.0,2,61728.39506172839
Domlur,3 BHK,1540.0,3.0,2.0,90.0,3,58441.55844155844
Sarjapura - Attibele Road,3 BHK,1330.0,2.0,1.0,48.0,3,36090.22556390977
Devasthanagalu,2 BHK,1200.0,2.0,1.0,65.0,2,54166.66666666666
T Dasarahalli,3 Bedroom,1200.0,3.0,1.0,90.0,3,75000.0
Green View Layout,2 BHK,1007.0,2.0,2.0,43.0,2,42701.09235352533
Shantiniketan Layout,2 BHK,1200.0,2.0,2.0,50.0,2,41666.66666666666
Peenya,2 BHK,966.0,2.0,2.0,49.9,2,51656.31469979296
Nagarbhavi,3 BHK,1630.0,2.0,1.0,98.0,3,60122.69938650307
Jalahalli West,2 BHK,782.0,2.0,2.0,55.68,2,71202.04603580563
Devanahalli,2 BHK,1260.0,2.0,2.0,66.78,2,53000.0
Lakshmiamma Garden,3 BHK,1800.0,3.0,3.0,120.0,3,66666.66666666667
Byatarayanapura,3 BHK,1413.0,2.0,2.0,75.0,3,53078.55626326964
Whitefield,2 BHK,1116.0,2.0,1.0,51.91,2,46514.33691756272
Electronic City,3 BHK,1530.0,2.0,1.0,45.9,3,30000.0
Kengeri,3 BHK,1540.0,2.0,3.0,64.0,3,41558.44155844156
Thanisandra,3 BHK,1436.0,3.0,1.0,74.75,3,52054.31754874652
Malleshwaram,2 BHK,1100.0,2.0,2.0,75.0,2,68181.81818181818
Devanahalli,3 BHK,1282.0,2.0,2.0,68.52,3,53447.73790951638
Kadugodi,2 BHK,1050.0,2.0,1.0,34.0,2,32380.95238095238
LB Shastri Nagar,3 BHK,1600.0,3.0,2.0,65.0,3,40625.0
Vajarahalli,2 BHK,945.0,2.0,1.0,54.0,2,57142.857142857145
Hormavu,2 BHK,1500.0,2.0,1.0,78.0,2,52000.0
Peenya,3 BHK,1870.0,3.0,3.0,110.0,3,58823.52941176471
Sarjapur,3 Bedroom,1600.0,3.0,1.0,75.0,3,46875.0
Kudlu Gate,3 BHK,1535.0,3.0,2.0,83.0,3,54071.66123778502
Kanakpura Road,2 BHK,950.0,2.0,1.0,57.0,2,60000.0
Devanahalli,2 BHK,1360.0,2.0,1.0,65.0,2,47794.117647058825
8th Phase JP Nagar,2 BHK,1073.5,2.0,0.0,54.005,2,50307.40568234746
Bommasandra Industrial Area,3 BHK,1280.0,3.0,1.0,50.4,3,39375.0
Chandra Layout,3 BHK,1260.0,2.0,2.0,85.05,3,67500.0
Kasavanhalli,3 BHK,1563.05,3.0,1.0,105.0,3,67176.35392341895
ISRO Layout,2 BHK,1000.0,2.0,1.0,60.0,2,60000.0
Anandapura,2 BHK,1167.0,2.0,1.0,43.76,2,37497.857754927165
Kengeri Satellite Town,2 BHK,890.0,2.0,1.0,35.0,2,39325.84269662921
Basavanapura,3 BHK,1612.0,3.0,3.0,46.74,3,28995.03722084367
Mysore Road,3 BHK,1710.0,4.0,2.0,91.31,3,53397.66081871345
Kannamangala,2 BHK,957.0,2.0,1.0,58.0,2,60606.06060606061
Devarachikkanahalli,3 BHK,1250.0,2.0,3.0,44.0,3,35200.0
Hulimavu,2 BHK,1125.0,2.0,2.0,50.0,2,44444.444444444445
Electronic City Phase II,2 BHK,1020.0,2.0,1.0,30.6,2,30000.0
Kalena Agrahara,2 BHK,1200.0,2.0,2.0,50.0,2,41666.66666666666
Thanisandra,3 BHK,1735.0,3.0,3.0,135.0,3,77809.79827089337
Yarandahalli,3 BHK,1350.0,2.0,3.0,48.0,3,35555.555555555555
Hosa Road,2 BHK,1063.0,2.0,1.0,32.0,2,30103.480714957663
Keshava Nagar,3 BHK,1904.0,3.0,1.0,150.0,3,78781.51260504202
Sarjapur,2 BHK,1242.5,2.0,0.0,43.49,2,35002.012072434605
Tejaswini Nagar,3 BHK,1425.0,2.0,2.0,75.0,3,52631.57894736842
Electronic City,3 BHK,1500.0,2.0,1.0,64.5,3,43000.0
Electronic City,2 BHK,1060.0,2.0,1.0,60.0,2,56603.77358490566
Jai Bheema Nagar,3 BHK,1470.0,2.0,2.0,70.0,3,47619.04761904762
Electronic City,2 BHK,1152.0,2.0,1.0,64.5,2,55989.583333333336
Electronic City,3 BHK,1350.0,2.0,1.0,56.0,3,41481.48148148148
CV Raman Nagar,3 BHK,1550.0,3.0,3.0,65.0,3,41935.48387096774
CHIKKATIRUPATHI,3 Bedroom,1500.0,3.0,2.0,100.0,3,66666.66666666667
Electronic City,2 BHK,770.0,1.0,1.0,36.0,2,46753.24675324676
Hulimavu,2 BHK,1242.0,2.0,3.0,51.0,2,41062.80193236715
Vijayanagar,3 BHK,1704.0,3.0,2.0,110.0,3,64553.99061032864
Electronic City,2 BHK,1070.0,2.0,1.0,52.0,2,48598.13084112149
Jakkuru Layout,2 BHK,1340.0,2.0,2.0,55.7,2,41567.16417910448
Electronic City,2 BHK,1025.0,2.0,1.0,46.0,2,44878.04878048781
KR Puram,2 BHK,1277.5,2.0,0.0,56.8,2,44461.83953033268
Marathahalli,2 BHK,1200.0,2.0,2.0,52.0,2,43333.333333333336
Pattandur Agrahara,3 BHK,1550.0,2.0,3.0,80.0,3,51612.90322580645
Marathahalli,2 BHK,1200.0,2.0,2.0,60.0,2,50000.0
Yelahanka,2 BHK,1327.0,2.0,2.0,98.0,2,73850.79125847777
Kothanur,2 BHK,1186.0,2.0,2.0,58.0,2,48903.87858347386
MS Pallya,3 Bedroom,1783.0,3.0,1.0,115.0,3,64498.03701626472
HSR Layout,3 BHK,1400.0,3.0,2.0,56.0,3,40000.0
Nagasandra,2 BHK,980.0,2.0,1.0,48.0,2,48979.5918367347
EPIP Zone,2 BHK,1285.0,2.0,2.0,82.0,2,63813.22957198443
Langford Town,3 BHK,912.0,2.0,1.0,70.0,3,76754.38596491228
Whitefield,2 BHK,1225.0,2.0,2.0,47.6,2,38857.142857142855
Whitefield,2 BHK,1075.0,2.0,1.0,53.0,2,49302.32558139535
Kadugodi,3 BHK,1260.0,2.0,2.0,54.0,3,42857.142857142855
Yelahanka,3 BHK,1282.0,2.0,2.0,48.7,3,37987.51950078003
Kogilu,3 BHK,1909.0,3.0,2.0,88.0,3,46097.43321110529
Panathur,2 BHK,1359.0,2.0,1.0,87.0,2,64017.66004415011
Nagondanahalli,2 BHK,1207.0,2.0,2.0,43.5,2,36039.76801988401
Kammasandra,3 BHK,1595.0,3.0,2.0,65.0,3,40752.35109717868
"Off Sarjapur Road,",3 BHK,1798.0,3.0,2.0,89.0,3,49499.44382647386
Electronics City Phase 1,3 BHK,1475.0,3.0,2.0,78.29,3,53077.96610169492
Tala Cauvery Layout,3 BHK,1580.0,3.0,3.0,100.0,3,63291.13924050633
Dasarahalli,2 BHK,1295.0,2.0,1.0,65.0,2,50193.05019305019
Ngef Layout,3 BHK,1415.0,3.0,3.0,78.0,3,55123.674911660775
Sarjapur  Road,3 BHK,1787.0,3.0,2.0,98.29,3,55002.79798545048
Sarjapur  Road,3 BHK,1787.0,3.0,2.0,125.0,3,69949.63626189144
Koramangala,3 BHK,1475.0,2.0,3.0,90.0,3,61016.94915254237
Sarjapur  Road,2 BHK,984.0,2.0,1.0,44.28,2,45000.0
7th Phase JP Nagar,2 BHK,1080.0,2.0,2.0,72.0,2,66666.66666666667
Shantiniketan Layout,2 Bedroom,1500.0,2.0,1.0,115.0,2,76666.66666666667
Hebbal,3 BHK,1900.0,3.0,2.0,119.0,3,62631.57894736842
Dommasandra,2 BHK,805.0,2.0,1.0,22.14,2,27503.10559006211
Budigere,2 BHK,1153.0,2.0,2.0,56.4,2,48915.87163920208
Dodda Nekkundi Extension,2 BHK,1148.0,2.0,2.0,60.0,2,52264.80836236934
Mylasandra,2 BHK,1110.0,2.0,2.0,55.0,2,49549.54954954955
Electronic City,2 BHK,1100.0,2.0,2.0,42.0,2,38181.81818181818
Dr Shivarama Karantha Nagar,3 BHK,1500.0,2.0,1.0,65.0,3,43333.333333333336
Bank Of Baroda Colony,2 BHK,1080.0,2.0,2.0,39.0,2,36111.11111111111
Kullappa Colony,2 BHK,1060.0,2.0,2.0,60.0,2,56603.77358490566
Ashwath Nagar,3 BHK,1644.0,3.0,3.0,84.0,3,51094.890510948906
Ncpr Industrial Layout,2 BHK,1285.0,2.0,3.0,72.5,2,56420.233463035016
Electronic City,3 Bedroom,1200.0,3.0,1.0,90.0,3,75000.0
Electronic City,2 BHK,910.0,2.0,1.0,40.0,2,43956.04395604396
Kothanur,3 BHK,1577.0,3.0,1.0,70.0,3,44388.07863031072
Chandapura,2 BHK,800.0,1.0,1.0,20.0,2,25000.0
Anand Nagar,2 BHK,1060.0,2.0,2.0,55.0,2,51886.79245283019
7th Phase JP Nagar,2 BHK,1270.0,2.0,2.0,93.0,2,73228.34645669292
Shree Ananth Nagar Layout,2 BHK,900.0,2.0,2.0,22.5,2,25000.0
Kundalahalli Colony,2 Bedroom,1280.0,2.0,1.0,69.0,2,53906.25
Horamavu Agara,4 Bedroom,1200.0,2.0,0.0,95.0,4,79166.66666666667
Sarjapur  Road,2 BHK,1025.0,2.0,2.0,36.0,2,35121.95121951219
Electronic City,2 BHK,1108.0,2.0,1.0,63.0,2,56859.20577617329
Vijayanagar,3 BHK,1500.0,3.0,2.0,75.5,3,50333.333333333336
Raja Rajeshwari Nagar,2 BHK,1295.0,2.0,2.0,43.9,2,33899.6138996139
Budigere,2 BHK,1162.0,2.0,1.0,59.9,2,51549.05335628228
Sarjapur  Road,2 BHK,1035.0,2.0,2.0,49.2,2,47536.23188405797
Attibele,4 Bedroom,1600.0,4.0,0.0,52.8,4,33000.0
